"","Variable","Coefficient"
"1","age",1.04095436099589
"2","alcohol_category_Heavy",-0.582564096189192
"3","alcohol_category_Abusive",-0.568275889105144
"4","alcohol_category_Moderate",-0.393462761182078
"5","iibs_2yr_Yes",0.207115727629838
"6","ethnicity_Black",0.204526910576629
"7","employment_status_Looking.after.home.and.or.family",-0.195558625393903
"8","waist_circumference",0.194446418587242
"9","bmi",0.189119314259253
"10","HDL_cholesterol",-0.1845093194341
"11","comp_body_10_Plumper",-0.153839498333975
"12","comp_height_10_Shorter",-0.141644589746883
"13","sleep_pattern_Intermediate.sleep.pattern",0.135470769979538
"14","imd_quin",0.121414851324243
"15","physician_natd_Yes",0.10869026756374
"16","own_rent_Rent",0.107839928774959
"17","edu_NVQ.or.HND.or.HNC.or.equivalent",-0.10766141207633
"18","ethnicity_Other",-0.107239696762921
"19","diet_score",-0.101526639463933
"20","comp_height_10_Taller",-0.0927817825267013
"21","sleep_pattern_Poor.sleep.pattern",0.0916692282322715
"22","employment_status_Retired",0.0859867710217539
"23","met_score",-0.0674679576382543
"24","ozone",-0.0671066925802185
"25","social_isolation_Isolated",-0.0538889894777178
"26","sys_bp",0.0323671635754927
"27","NO2",-0.013929141259393
"28","sex_Male",-0.0126640681871343
