"coef","CI_low","CI_high","Variable"
0.143168,0.046392,0.239943,"(Intercept)"
-0.000817,-0.001217,-0.000417,"waist_circumference"
1e-05,-3e-06,2.4e-05,"dist_greenspace"
0.130816,0.097523,0.164109,"own_rentOther"
0.01785,0.001149,0.034551,"own_rentRent"
-0.032687,-0.055821,-0.009553,"alcohol_categoryNever/Abstinent (Excluding previous drinkers)"
-0.002042,-0.016395,0.01231,"alcohol_categoryModerate"
-0.030571,-0.04812,-0.013023,"alcohol_categoryHeavy"
-0.026133,-0.050694,-0.001571,"alcohol_categoryPrevious Drinker (who currently never drink)"
-0.053604,-0.075628,-0.031579,"alcohol_categoryAbusive"
-0.001296,-0.002314,-0.000278,"ozone"
0.000933,-0.001265,0.003131,"PM10"
-0.000539,-0.001214,0.000136,"age"
-0.011968,-0.023594,-0.000342,"sexMale"
0.036343,0.002007,0.070679,"ethnicityAsian"
0.781587,0.742539,0.820635,"ethnicityBlack"
0.177174,0.137829,0.216518,"ethnicityOther"
