"selection_proportion","variable"
1,"waist_circumference"
1,"dist_greenspace"
1,"own_rent_Rent"
0.99,"alcohol_category_Never/Abstinent (Excluding previous drinkers)"
0.99,"alcohol_category_Heavy"
0.97,"ozone"
0.97,"PM10"
0.75,"alcohol_category_Abusive"
0.74,"packyears"
0.68,"employment_status_Retired"
0.66,"maternal_smoking_Yes"
0.53,"imd_quin"
0.5,"smoke_status_Previous"
0.44,"iibs_2yr_Yes"
0.32,"alcohol_category_Moderate"
0.22,"employment_status_Other"
0.2,"PM25"
0.16,"own_rent_Other"
0.12,"edu_A levels/AS levels or equivalent"
0.11,"sleep_pattern_Poor sleep pattern"
0.11,"edu_None of the above"
0.1,"sleep_pattern_Intermediate sleep pattern"
0.07,"sys_bp"
0.06,"lden"
0.05,"dist_bluespace"
0.05,"eid"
0.05,"employment_status_Unemployed"
0.04,"neuroticism_score"
0.04,"avg_hhincome_18,000 to 30,999"
0.02,"alcohol_category_Previous Drinker (who currently never drink)"
0.02,"comp_height_10_Taller"
0.02,"loneliness_Lonely"
0.02,"avg_hhincome_Greater than 100,000"
0.01,"diet_score"
0.01,"NO2"
0.01,"met_score"
0.01,"smoke_status_Current"
0.01,"comp_body_10_Thinner"
0.01,"physician_natd_Yes"
0.01,"employment_status_Unable to work due to sickness"
0.01,"edu_O levels/GCSEs or equivalent"
0.01,"edu_CSEs or equivalent"
0.01,"edu_NVQ or HND or HNC or equivalent"
0.01,"edu_Other professional qualifications eg: nursing, teaching"
0,"bmi"
0,"temp"
0,"impervious"
0,"MSAVI"
0,"NDVI"
0,"comp_body_10_Plumper"
0,"comp_height_10_Shorter"
0,"social_isolation_Isolated"
0,"employment_status_Looking after home and/or family"
0,"avg_hhincome_Less than 18,000"
0,"avg_hhincome_52,000 to 100,000"
