"selection_proportion","variable"
1,"waist_circumference"
1,"bmi"
1,"sys_bp"
1,"diet_score"
1,"NO2"
1,"ozone"
1,"imd_quin"
1,"alcohol_category_Never/Abstinent (Excluding previous drinkers)"
1,"alcohol_category_Moderate"
1,"alcohol_category_Heavy"
1,"alcohol_category_Previous Drinker (who currently never drink)"
1,"alcohol_category_Abusive"
1,"smoke_status_Current"
1,"comp_body_10_Thinner"
1,"comp_body_10_Plumper"
1,"comp_height_10_Shorter"
1,"comp_height_10_Taller"
1,"physician_natd_Yes"
1,"employment_status_Looking after home and/or family"
1,"employment_status_Retired"
1,"edu_NVQ or HND or HNC or equivalent"
0.99,"met_score"
